uk.ac.ebi.interpro.scan/precalcmatches
uk.ac.ebi.interpro.scan/precalc-match-client 4
uk.ac.ebi.interpro.scan/jms-implementation 103
uk.ac.ebi.interpro.scan/interproscan
uk.ac.ebi.interpro.scan/interproscan-web 47
uk.ac.ebi.interpro.scan/interproscan-util 1
uk.ac.ebi.interpro.scan/interproscan-persistence 98
uk.ac.ebi.interpro.scan/interproscan-model 159
uk.ac.ebi.interpro.scan/interproscan-management 120
uk.ac.ebi.interpro.scan/interproscan-io 164
uk.ac.ebi.interpro.scan/interproscan-business 53
uk.ac.ebi.interpro.scan/generic-jpa-dao 2
uk.ac.ebi.interpro.scan/berkeley 46
space.glome/glome-testdouble 0
space.glome/glome-schema 11
space.glome/glome-jdbc
space.glome/glome-jdbc-testdouble 0
space.glome/glome-jdbc-schema 0
space.glome/glome-http
space.glome/glome-http-testdouble 0
space.glome/glome-http-schema 29
space.glome/glome-http-executor 5
space.glome/glome-core
space.glome/glome-agent 0
se.ugli.pecan/pecan 8
ru.noties/markwon
ru.noties/markwon-view
ru.noties/markwon-image-loader
org/zanata
org.vibur/vibur-object-pool 16
org.vibur/vibur-dbcp 74
org.thatscloud/pubj 17
org.t-io/tio-zoo-parent
org.t-io/tio-websocket-server 5
org.t-io/tio-websocket-parent
org.t-io/tio-websocket-common 15
org.t-io/tio-utils 109
org.t-io/tio-parent
org.t-io/tio-http-server 43
org.t-io/tio-http-parent
org.t-io/tio-http-common 69
org.t-io/tio-flash-policy-server 5
org.t-io/tio-core 122
org.springframework/cloud
org.sonarsource.typescript/typescript
org.sonarsource.typescript/sonar-typescript-plugin 2
org.sejda/sejda-sambox 100
org.sejda/sejda-parent
org.sejda/sejda-optional-fonts 1
org.sejda/sejda-ocr 7
org.sejda/sejda-model 216
org.sejda/sejda-image-writers 11
org.sejda/sejda-fonts 2
org.sejda/sejda-docs
org.sejda/sejda-distribution
org.sejda/sejda-core 71
org.sejda/sejda-conversion 55
org.sejda/sejda-console 126
org.sejda/sambox 754
org.scala-sbt/util-interface 5
org.restcomm.slee.resource.smpp/smpp-server-ra
org.restcomm.slee.resource.smpp/smpp-server-ra-ratype 3
org.restcomm.slee.resource.smpp/smpp-server-ra-ra 16
org.restcomm.slee.resource.smpp/smpp-server-ra-library 1
org.restcomm.slee.resource.smpp/smpp-server-ra-events 3
org.restcomm.slee.resource.smpp/smpp-server-ra-du 0
org.restcomm.slee.resource.smpp/restcomm-slee-smpp
org.realityforge.replicant/replicant-shared 1
org.realityforge.replicant/replicant-shared-ee 3
org.realityforge.replicant/replicant-server 47
org.realityforge.replicant/replicant-client-qa-support 1
org.realityforge.replicant/replicant-client-gwt 76
org.realityforge.replicant/replicant-client-ee 28
org.realityforge.replicant/replicant-client-common 76
org.orekit/orekit 1635
